Periodo,TRM,Tasa,Flujos_Financieros,TRM_Var,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label,fecha,Prob_Crisis,Regimen,Alerta
2019-06-01,3260.517,4.25,-1.96,-1.330839434424269,0.0,3.059245116660786,0.0,1.2236982426643146,2,2019-06,0.4993890732564179,0,AMARILLA
2019-07-01,3206.6003225806453,4.25,-1.96,-1.653623563973272,0.0,3.586194649982546,0.0,1.4344778599930184,2,2019-07,0.8822323563907142,1,ROJA
2019-08-01,3410.7290322580648,4.25,-1.96,6.365891883686281,0.0,4.539759365735932,0.0,1.815903746294373,2,2019-08,0.9963279856839072,1,ROJA
2019-09-01,3399.4570000000003,4.25,-5.17,-0.3304874750077013,0.0,4.299318039734445,0.0,1.719727732893778,2,2019-09,0.9899703948870853,1,ROJA
2019-10-01,3433.311612903226,4.25,-5.17,0.9958829572848104,0.0,3.545836782031244,0.0,1.4183347128124977,2,2019-10,0.7680711417214776,1,ROJA
2019-11-01,3401.473,4.25,-5.17,-0.9273441065928534,0.0,0.9844032626891746,0.0,0.3937613050756698,0,2019-11,0.08768903293400211,0,VERDE
2019-12-01,3378.0506451612905,4.25,-0.5,-0.6885944659478227,0.0,1.0482738127925784,0.0,0.4193095751170313,0,2019-12,0.02652159805224584,0,VERDE
2020-01-01,3311.1893548387097,4.25,-0.5,-1.979286202187425,0.0,0.6867154579820901,0.0,0.274686183192836,0,2020-01,0.0462085420936606,0,VERDE
2020-02-01,3411.052758620689,4.25,-0.5,3.015937570469873,0.0,2.592993871498185,0.0,1.0371975485992742,2,2020-02,0.32215482643108967,0,VERDE
2020-03-01,3877.048387096774,4.217741935483871,5.81,13.66134332863609,-0.032258064516129,7.988598296065332,0.0186242022318321,3.2010271600956828,2,2020-03,0.9999999997802522,1,ROJA
2020-04-01,3977.393333333333,3.75,5.81,2.5881788468391957,-0.467741935483871,6.273258230013181,0.2612372174893779,2.587674457252086,2,2020-04,0.9999999679491537,1,ROJA
2020-05-01,3858.191612903226,3.298387096774193,5.81,-2.996980948077565,-0.4516129032258065,8.478489933195949,0.2469024194237587,3.4654666991055074,2,2020-05,0.999999999999811,1,ROJA
2020-06-01,3701.6043333333337,2.75,0.45,-4.058566688243436,-0.5483870967741935,3.57071889182508,0.0518475847364986,1.4438418771509816,2,2020-06,0.9464942342109651,1,ROJA
2020-07-01,3657.866774193548,2.5,0.45,-1.181583853950141,-0.25,1.4548574455886414,0.1522322057501828,0.6276126399605114,1,2020-07,0.7623917889877768,1,ROJA
2020-08-01,3783.025806451613,2.2661290322580645,0.45,3.4216399881228154,-0.2338709677419355,3.7731549992502185,0.1771136173121336,1.5623960848937275,2,2020-08,0.822472330670742,1,ROJA
2020-09-01,3750.2153333333335,1.975,2.46,-0.8673076737230834,-0.2911290322580644,2.571753983300776,0.029524647692458,1.0375592336280477,2,2020-09,0.6979669919505181,1,AMARILLA
2020-10-01,3833.7883870967744,1.75,2.46,2.2284868023606963,-0.2250000000000001,2.2136933696463963,0.0358938920713596,0.8962455154799664,1,2020-10,0.6833877123812312,1,AMARILLA
2020-11-01,3685.6266666666666,1.75,2.46,-3.864629590114299,0.0,3.046690813567991,0.1526183487935875,1.2644618300652728,2,2020-11,0.8443763197069531,1,ROJA
2020-12-01,3466.127096774193,1.75,-4.15,-5.955556266120454,0.0,4.25199174276864,0.1299038105676532,1.7397682552777518,2,2020-12,0.9847078002718697,1,ROJA
2021-01-01,3491.3216129032257,1.75,-4.15,0.7268780233846694,0.0,3.418304759253412,0.0,1.3673219037013649,2,2021-01,0.9668422283983712,1,ROJA
2021-02-01,3554.5042857142857,1.75,-4.15,1.8097064612308864,0.0,4.205685649295772,0.0,1.682274259718309,2,2021-02,0.9316570300076149,1,ROJA
2021-03-01,3612.7683870967744,1.75,-0.23,1.6391625019740452,0.0,0.5822178340510387,0.0,0.2328871566204154,0,2021-03,0.08981849574948597,0,VERDE
2021-04-01,3650.776,1.75,-0.23,1.0520356920463492,0.0,0.3974644905421288,0.0,0.1589857962168515,0,2021-04,0.010165561115481909,0,VERDE
2021-05-01,3735.6661290322577,1.75,-0.23,2.325262602587985,0.0,0.6372542669826601,0.0,0.254901706793064,0,2021-05,0.0022662527119835163,0,VERDE
2021-06-01,3685.0426666666663,1.75,-3.84,-1.355138832460523,0.0,1.869088489088972,0.0,0.7476357796355888,1,2021-06,0.003273002107326309,0,VERDE
2021-07-01,3829.418064516129,1.75,-3.84,3.917875881205424,0.0,2.7045164678389733,0.0,1.0818065871355893,2,2021-07,0.009636117058312518,0,VERDE
2021-08-01,3881.183548387097,1.75,-3.84,1.351784605359052,0.0,2.6368207847307743,0.0,1.0547283138923098,2,2021-08,0.01099106232304494,0,VERDE
2021-09-01,3821.5376666666666,1.75,-1.01,-1.5367962111768052,0.0,2.728924428080512,0.0,1.0915698722322047,2,2021-09,0.010703145483959153,0,VERDE
2021-10-01,3773.384193548387,2.0,-1.01,-1.2600549129293537,0.25,1.5938522803315072,0.1443375672973938,0.680842182321821,1,2021-10,0.005133476728803062,0,VERDE
2021-11-01,3902.901,2.4833333333333334,-1.01,3.432377934721198,0.4833333333333334,2.7924960002396504,0.2417145546422927,1.189512766488548,2,2021-11,0.013784097584016313,0,VERDE
2021-12-01,3963.1335483870967,2.693548387096774,0.47,1.543276357435075,0.2102150537634406,2.3610130950652573,0.1475471004045168,0.988669415147458,1,2021-12,0.007890935483612522,0,VERDE
2022-01-01,3999.6161290322575,3.032258064516129,0.47,0.9205488586174316,0.338709677419355,1.3080379463563476,0.1366384918886283,0.5642067261091276,1,2022-01,0.00350609694586013,0,VERDE
2022-02-01,3935.835714285714,4.0,0.47,-1.594663404909724,0.967741935483871,1.6613623034769585,0.4053885844724109,0.7861614967325068,1,2022-02,0.011345069394962458,0,VERDE
2022-03-01,3807.170967741936,4.0,-4.1,-3.269057854136792,0.0,2.1088185440255063,0.4910753983109093,0.9908504471034754,1,2022-03,0.05586408650076293,0,VERDE
2022-04-01,3792.982,5.0,-4.1,-0.3726905847454165,1.0,1.4540608483384545,0.5682671080311273,0.75210447174472,1,2022-04,0.18161896834029528,0,VERDE
2022-05-01,4019.07935483871,5.967741935483871,-4.1,5.960939304186241,0.967741935483871,4.720463580197417,0.5682671080311273,2.058665564488305,2,2022-05,0.9986566455299069,1,ROJA
2022-06-01,3930.766666666667,6.0,-3.04,-2.197336264727401,0.032258064516129,4.281776494357191,0.549650663188471,1.8776061006994176,2,2022-06,0.9998979945245684,1,ROJA
2022-07-01,4367.8058064516135,7.5,-3.04,11.1184198108498,1.5,6.713995647144089,0.7430449862178774,2.908511754722999,2,2022-07,0.999999999660114,1,ROJA
2022-08-01,4322.4693548387095,9.0,-3.04,-1.0379685732808563,1.5,7.375988881206233,0.8474012015525118,3.2046159129482468,2,2022-08,0.9999999999970658,1,ROJA
2022-09-01,4433.651,9.033333333333331,-3.23,2.572178910576439,0.0333333333333332,6.242985088968964,0.8467803948114477,2.75122847703102,2,2022-09,0.9999999958410459,1,ROJA
2022-10-01,4711.830322580645,10.03225806451613,-3.23,6.274271984435509,0.9989247311827968,3.656216622790751,0.7454924864066026,1.6861343950382812,2,2022-10,0.9977747626488389,1,ROJA
2022-11-01,4926.660666666667,11.0,-3.23,4.559382010351354,0.96774193548387,1.852714985747691,0.5487043147454088,0.9056972887226992,1,2022-11,0.9607535278566927,1,ROJA
2022-12-01,4788.49064516129,11.419354838709678,-5.63,-2.8045370049579965,0.4193548387096779,4.823431067078378,0.3259862049528318,2.027168851317201,2,2022-12,0.9997382103783753,1,ROJA
2023-01-01,4715.203870967742,12.048387096774194,-5.63,-1.5304775476089327,0.629032258064516,3.935668520098703,0.2767120265044583,1.657281015990819,2,2023-01,0.9859222018165642,1,ROJA
2023-02-01,4803.1125,12.75,-5.63,1.8643653898726689,0.701612903225806,2.413394416013985,0.1465731815076775,1.0093297208578973,2,2023-02,0.7607673087547382,1,ROJA
2023-03-01,4766.3058064516135,12.758064516129032,-2.82,-0.7663092119617576,0.008064516129032,1.7808874508753223,0.3811994779248333,0.826715105727579,1,2023-03,0.7041306478741635,1,ROJA
2023-04-01,4542.674333333333,13.0,-2.82,-4.691924567986705,0.2419354838709679,3.2993899131941387,0.3528475413597647,1.425610227685585,2,2023-04,0.8272368596096704,1,ROJA
2023-05-01,4540.089032258064,13.241935483870968,-2.82,-0.0569114333444198,0.2419354838709679,2.4965659043999064,0.1350254661814311,1.039134001614392,2,2023-05,0.8446731069152524,1,ROJA
2023-06-01,4209.268,13.25,-6.32,-7.286663981863084,0.008064516129032,3.66254331708269,0.1350254661814311,1.5055255986875054,2,2023-06,0.9619315358549828,1,ROJA
2023-07-01,4069.233548387097,13.25,-6.32,-3.3268124437052515,0.0,3.62035906908468,0.1374126657971061,1.4893674273730038,2,2023-07,0.9791988390045597,1,ROJA
2023-08-01,4070.7251612903215,13.25,-6.32,0.0366558686172302,0.0,3.665704955500548,0.0046560505576215,1.4676787973675058,2,2023-08,0.9651882687762848,1,ROJA
2023-09-01,4004.5206666666654,13.25,-2.56,-1.626356287897135,0.0,1.6817688930873689,0.0,0.6727078132349474,1,2023-09,0.889832274206689,1,ROJA
2023-10-01,4222.433225806451,13.25,-2.56,5.441663991240531,0.0,3.695416821429839,0.0,1.4781667285719358,2,2023-10,0.9781907748943327,1,ROJA
