trimestre,ciiu,macrosector,var_pib_pct,var_pib_norm,momentum,momentum_norm,icds,estado,estado_nombre,vulnerabilidad,color,macrosector_id,icds_original,icds_star,ajuste_mip
2017T2,M + N,Servicios profesionales,1.7463,0.3760975581382788,-0.62375,0.3980020131871669,0.3826688946529452,S4,Decrecimiento,Media,#BA7517,M10,0.3826688946529452,0.3676,0.015
2017T2,O + P + Q,"Gobierno, educación y salud",3.5725,0.3912720498360154,3.718025,0.457727368237519,0.4112086453564665,S3,Estabilidad,Moderada,#378ADD,M11,0.4112086453564665,0.3925,0.0187
2017T2,R + S + T,"Arte, recreación y otros servicios",1.8597,0.3770398357412375,3.582125,0.4558579310254702,0.4006852643265073,S3,Estabilidad,Moderada,#378ADD,M12,0.4006852643265073,0.3815,0.0192
2017T3,A,Agropecuario,5.9639,0.4111429727611974,8.091425000000001,0.5178877560460097,0.443166407746641,S3,Estabilidad,Moderada,#378ADD,M01,0.443166407746641,0.429,0.0142
2017T3,B,Minería y energía,-6.4833,0.3077151263806984,-5.871175,0.3258185579816131,0.3131461558609728,S4,Decrecimiento,Media,#BA7517,M02,0.3131461558609728,0.288,0.0252
2017T3,C,Manufactura,-1.0933,0.3525023951633073,-0.8842250000000003,0.3944189251974069,0.3650773541735372,S4,Decrecimiento,Media,#BA7517,M03,0.3650773541735372,0.3348,0.0303
2017T3,D + E,Electricidad y servicios públicos,3.9824,0.3946780426883329,2.05185,0.4348075040227634,0.4067168810886621,S3,Estabilidad,Moderada,#378ADD,M04,0.4067168810886621,0.3799,0.0268
2017T3,F,Construcción,-2.107,0.344079231088181,-2.0709,0.3780950517345083,0.3542839772820792,S4,Decrecimiento,Media,#BA7517,M05,0.3542839772820792,0.3252,0.0291
2017T3,G + H + I,"Comercio, transporte y turismo",3.459,0.3903289413004262,2.38725,0.4394212585549278,0.4050566364767767,S3,Estabilidad,Moderada,#378ADD,M06,0.4050566364767767,0.3839,0.0212
2017T3,J,TIC y economía digital,-2.8989,0.3374990755874486,-1.719075,0.3829347481813739,0.3511297773656262,S4,Decrecimiento,Media,#BA7517,M07,0.3511297773656262,0.3278,0.0233
2017T3,K,Financiero y seguros,4.5061,0.3990296368741312,5.010375,0.4755049045214863,0.4219722171683376,S3,Estabilidad,Moderada,#378ADD,M08,0.4219722171683376,0.4057,0.0162
2017T3,L,Inmobiliario,2.9398,0.3860147390829993,3.07575,0.4488922484040488,0.4048779918793141,S3,Estabilidad,Moderada,#378ADD,M09,0.4048779918793141,0.3981,0.0068
2017T3,M + N,Servicios profesionales,2.0897,0.3789509807913304,0.790025,0.4174498689227386,0.3905006472307528,S4,Decrecimiento,Media,#BA7517,M10,0.3905006472307528,0.376,0.0145
