fecha,macrosector_id,ipp_idx,ipp_var_anual
2022-07,M03,160.64,19.9701
2022-08,M03,159.6,17.8991
2022-09,M03,160.85,18.0291
2022-10,M03,163.13,18.4591
2022-11,M03,165.57,18.003
2022-12,M03,165.16,16.2853
2023-01,M03,167.65,15.7724
2023-02,M03,169.55,14.9647
2023-03,M03,169.96,13.5413
2023-04,M03,169.06,10.3525
2023-05,M03,169.48,7.9559
2023-06,M03,166.92,6.7536
2023-07,M03,166.25,3.4923
2023-08,M03,167.33,4.8434
2023-09,M03,167.65,4.2275
2023-10,M03,168.4,3.2306
2023-11,M03,167.8,1.3469
2023-12,M03,166.73,0.9506
2024-01,M03,168.05,0.2386
2024-02,M03,168.95,-0.3539
2024-03,M03,168.8,-0.6825
2024-04,M03,169.14,0.0473
2024-05,M03,169.38,-0.059
2024-06,M03,170.51,2.1507
2024-07,M03,170.73,2.6947
2024-08,M03,171.12,2.265
2024-09,M03,172.57,2.9347
2024-10,M03,173.27,2.8919
2024-11,M03,174.72,4.124
2024-12,M03,175.71,5.386
2025-01,M03,176.61,5.0937
2025-02,M03,176.47,4.451
2025-03,M03,176.51,4.5675
2025-04,M03,178.92,5.7822
2025-05,M03,178.7,5.5024
2025-06,M03,177.9,4.3341
2025-07,M03,176.9,3.6139
2025-08,M03,177.05,3.4654
2025-09,M03,176.96,2.5439
2025-10,M03,177.34,2.3489
2025-11,M03,177.1,1.3622
2025-12,M03,177.48,1.0073
2026-01,M03,178.33,0.9739
2026-02,M03,179.51,1.7227
2026-03,M03,181.45,2.7987
2026-04,M03,182.84,2.1909
